Id,Role,Process,BusinessActivity,BusinessPermission,ISDataType,ISActivity,System,ServiceCall,ISPermission
23,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,mündlich fremdes Werk anfragen,1. READ CRM-Eintrag (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Ausstellungskonzept (Comp)<br>,Kontakt des Kurators holen,Kunsthalle,System.ISystemCRMProvidedRole.gibEintrag(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE CRM-Eintrag<br>
23,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,mündlich fremdes Werk anfragen,1. READ CRM-Eintrag (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Ausstellungskonzept (Comp)<br>,sich im System für die mündliche Anfrage abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
23,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,mündlich fremdes Werk anfragen,1. READ CRM-Eintrag (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Ausstellungskonzept (Comp)<br>,sich im System für die mündliche Anfrage anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
24,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,individuelles Leihgesuch schreiben,1. READ Fremdes Ausstellungsobjekt (Comp)<br>2. WRITE Leihgesuch (Comp)<br>,1. Fremdes Ausstellungsobjekt (Comp)<br>2. Leihgesuch (Comp)<br>,Hole Empfänger für Leihgesuch,Kunsthalle,System.ISystemCRMProvidedRole.gibEintrag(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE CRM-Eintrag<br>
24,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,individuelles Leihgesuch schreiben,1. READ Fremdes Ausstellungsobjekt (Comp)<br>2. WRITE Leihgesuch (Comp)<br>,1. Fremdes Ausstellungsobjekt (Comp)<br>2. Leihgesuch (Comp)<br>,Hole fremdes Ausstellungkonzeptobjekt,Kunsthalle,System.ISystemAusstellungProvidedRole.gibFremdesAusstellungsobjektAusAusstellungskonzept(),1. READ Ausstellungsname: STRING<br>2. READ Ausstellungsobjektname: STRING<br>3. WRITE Ausstellungskonzeptobjekt für fremdes Werk<br>
24,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,individuelles Leihgesuch schreiben,1. READ Fremdes Ausstellungsobjekt (Comp)<br>2. WRITE Leihgesuch (Comp)<br>,1. Fremdes Ausstellungsobjekt (Comp)<br>2. Leihgesuch (Comp)<br>,Leihgesuch hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeLeihgesuchHinzu(),1. READ token: Token<br>2. READ Empfänger: CRM-Eintrag<br>3. READ Ausstellungskonzeptobjekt für fremdes Werk: Ausstellungskonzeptobjekt für fremdes Werk<br>
24,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,individuelles Leihgesuch schreiben,1. READ Fremdes Ausstellungsobjekt (Comp)<br>2. WRITE Leihgesuch (Comp)<br>,1. Fremdes Ausstellungsobjekt (Comp)<br>2. Leihgesuch (Comp)<br>,sich im System für die Leihgesuch-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
24,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,individuelles Leihgesuch schreiben,1. READ Fremdes Ausstellungsobjekt (Comp)<br>2. WRITE Leihgesuch (Comp)<br>,1. Fremdes Ausstellungsobjekt (Comp)<br>2. Leihgesuch (Comp)<br>,sich im System für die Leihgesuch-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
25,Vorstand:Direktor,fremde Werke ausleihen,Leihgesuch unterschreiben,READ/WRITE Leihgesuch (Comp),Leihgesuch (Comp),,,,
26,Vorstand:Direktor,fremde Werke ausleihen,Leihgesuch verschicken,READ Leihgesuch (Comp),Leihgesuch (Comp),,,,
27,Vorstand:Direktor,fremde Werke ausleihen,Antwort erhalten,WRITE Bestätigung des Leihgesuchs (Comp),Bestätigung des Leihgesuchs (Comp),Bestätigung des Leihgesuchs speichern,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeBestätigungLeihgesuchHinzu(),1. READ Token: Token<br>2. READ bestätigung Leihgesuch: Bestätigung des Leihgesuchs<br>3. WRITE Leihgesuch<br>
28,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,Bestätigung weiterleiten,READ/WRITE Bestätigung des,Bestätigung des Leihgesuchs (Comp),,,,
29,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag verhandeln,1. READ Bestätigung des Leihgesuchs (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>3. WRITE Leihvertrag (Comp)<br>4. WRITE CRM-Eintrag (Comp)<br>,1. Bestätigung des Leihgesuchs (Comp)<br>2. Ausstellungskonzept (Comp)<br>3. Leihvertrag (Comp)<br>4. CRM-Eintrag (Comp)<br>,Ausstellungskonzept für Leihvertragsverhandlung holen,Kunsthalle,System.ISystemAusstellungProvidedRole.gibAusstellungskonzept(),1. READ token: Token<br>2. READ ausstellungsName: STRING<br>3. WRITE Ausstellungskonzept<br>
29,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag verhandeln,1. READ Bestätigung des Leihgesuchs (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>3. WRITE Leihvertrag (Comp)<br>4. WRITE CRM-Eintrag (Comp)<br>,1. Bestätigung des Leihgesuchs (Comp)<br>2. Ausstellungskonzept (Comp)<br>3. Leihvertrag (Comp)<br>4. CRM-Eintrag (Comp)<br>,Ausstellungsobjekt für Vertragsverhandlungen holen,Kunsthalle,System.ISystemAllgemeineZugriffeProvidedRole.gibAusstellungsobjekt(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE öffentlich sichtbares Ausstellungsobjekt<br>
29,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag verhandeln,1. READ Bestätigung des Leihgesuchs (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>3. WRITE Leihvertrag (Comp)<br>4. WRITE CRM-Eintrag (Comp)<br>,1. Bestätigung des Leihgesuchs (Comp)<br>2. Ausstellungskonzept (Comp)<br>3. Leihvertrag (Comp)<br>4. CRM-Eintrag (Comp)<br>,Hole Bestätigung des Leihgesuchs,Kunsthalle,System.ISystemLeihverkehrProvidedRole.gibBestätigungLeihgesuch(),1. READ titel Aussstellungsobjekt: STRING<br>2. WRITE Bestätigung des Leihgesuchs<br>
29,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag verhandeln,1. READ Bestätigung des Leihgesuchs (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>3. WRITE Leihvertrag (Comp)<br>4. WRITE CRM-Eintrag (Comp)<br>,1. Bestätigung des Leihgesuchs (Comp)<br>2. Ausstellungskonzept (Comp)<br>3. Leihvertrag (Comp)<br>4. CRM-Eintrag (Comp)<br>,Leihvertrag erstellen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeLeihvertragHinzu(),1. READ token: Token<br>2. READ Leihvertragsinformationen: STRING<br>3. READ Bestätigung Leihgesuch o. Leihanfrage: Allgemeine Leihanfrage<br>
29,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag verhandeln,1. READ Bestätigung des Leihgesuchs (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>3. WRITE Leihvertrag (Comp)<br>4. WRITE CRM-Eintrag (Comp)<br>,1. Bestätigung des Leihgesuchs (Comp)<br>2. Ausstellungskonzept (Comp)<br>3. Leihvertrag (Comp)<br>4. CRM-Eintrag (Comp)<br>,sich im System für Verhandlungen abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
29,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag verhandeln,1. READ Bestätigung des Leihgesuchs (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>3. WRITE Leihvertrag (Comp)<br>4. WRITE CRM-Eintrag (Comp)<br>,1. Bestätigung des Leihgesuchs (Comp)<br>2. Ausstellungskonzept (Comp)<br>3. Leihvertrag (Comp)<br>4. CRM-Eintrag (Comp)<br>,sich im System für Verhandlungen anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
29,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag verhandeln,1. READ Bestätigung des Leihgesuchs (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>3. WRITE Leihvertrag (Comp)<br>4. WRITE CRM-Eintrag (Comp)<br>,1. Bestätigung des Leihgesuchs (Comp)<br>2. Ausstellungskonzept (Comp)<br>3. Leihvertrag (Comp)<br>4. CRM-Eintrag (Comp)<br>,sich im System für Vertragsverhandlungen abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
29,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag verhandeln,1. READ Bestätigung des Leihgesuchs (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>3. WRITE Leihvertrag (Comp)<br>4. WRITE CRM-Eintrag (Comp)<br>,1. Bestätigung des Leihgesuchs (Comp)<br>2. Ausstellungskonzept (Comp)<br>3. Leihvertrag (Comp)<br>4. CRM-Eintrag (Comp)<br>,sich im System für Vertragsverhandlungen anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
30,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,Leihvertrag prüfen,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp),,,,
31,Vorstand:Direktor,fremde Werke ausleihen,Leihvertrag unterschreiben,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp),Leihvertrag hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeLeihvertragHinzu(),1. READ token: Token<br>2. READ Leihvertragsinformationen: STRING<br>3. READ Bestätigung Leihgesuch o. Leihanfrage: Allgemeine Leihanfrage<br>
31,Vorstand:Direktor,fremde Werke ausleihen,Leihvertrag unterschreiben,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp),sich im System für die Vertrags-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
31,Vorstand:Direktor,fremde Werke ausleihen,Leihvertrag unterschreiben,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp),sich im System für die Vertrags-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
32,Vorstand:Direktor,fremde Werke ausleihen,Leihvertrag an Museum verschicken,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp),,,,
33,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag archivieren,READ Leihvertrag (Comp),Leihvertrag (Comp),Leihvertrag hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeLeihvertragHinzu(),1. READ token: Token<br>2. READ Leihvertragsinformationen: STRING<br>3. READ Bestätigung Leihgesuch o. Leihanfrage: Allgemeine Leihanfrage<br>
33,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag archivieren,READ Leihvertrag (Comp),Leihvertrag (Comp),sich im System für die Leihvertrags-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
33,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag archivieren,READ Leihvertrag (Comp),Leihvertrag (Comp),sich im System für die Leihvertrags-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
34,Sammlung und Wissenschaft:Registrar,fremdes Werk wird angeliefert,Transportunternehmen beauftragen,READ CRM-Eintrag (Comp),CRM-Eintrag (Comp),Kontakt zu Transportunternehmen holen,Kunsthalle,System.ISystemCRMProvidedRole.gibEintrag(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE CRM-Eintrag<br>
34,Sammlung und Wissenschaft:Registrar,fremdes Werk wird angeliefert,Transportunternehmen beauftragen,READ CRM-Eintrag (Comp),CRM-Eintrag (Comp),sich im System für den Transport anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
35,Sammlung und Wissenschaft:Registrar,fremdes Werk wird angeliefert,Liefertermin ausmachen,,,Lieferauftrag verbuchen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeTransportauftragHinzu(),1. READ token: Token<br>2. READ auftrag: Transportauftrag<br>
35,Sammlung und Wissenschaft:Registrar,fremdes Werk wird angeliefert,Liefertermin ausmachen,,,sich im System für den Transport abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
36,Zentrale Dienste:Sicherheit,fremdes Werk wird angeliefert,Raum entsichern,,,,,,
37,Sammlung und Wissenschaft:Kurator,fremdes Werk wird angeliefert,Anlieferung beaufsichtigen und protokollieren,WRITE Protokoll (Comp),Protokoll (Comp),Protokoll hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeProtokollHinzu(),1. READ token: Token<br>2. READ protokoll: Protokoll<br>
37,Sammlung und Wissenschaft:Kurator,fremdes Werk wird angeliefert,Anlieferung beaufsichtigen und protokollieren,WRITE Protokoll (Comp),Protokoll (Comp),sich im System für die Protokoll-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
37,Sammlung und Wissenschaft:Kurator,fremdes Werk wird angeliefert,Anlieferung beaufsichtigen und protokollieren,WRITE Protokoll (Comp),Protokoll (Comp),sich im System für die Protokoll-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
38,Sammlung und Wissenschaft:Restaurator,fremdes Werk wird angeliefert,Kurator bei Anlieferung unterstützen,READ/WRITE Protokoll (Comp),Protokoll (Comp),Protokoll hinzufügen 2,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeProtokollHinzu(),1. READ token: Token<br>2. READ protokoll: Protokoll<br>
