Id,IDBA,Role,Process,BusinessActivity,BusinessPermission,ISDataType,ISActivity,System,ServiceCall,ISPermission
35,21,Sammlung und Wissenschaft:Kurator,Konzept erstellen,in Literatur nach verwandten Werken recherchieren,1. READ Literatur (Coll)<br>2. READ öffentliche und private Forschungsliteratur (Coll)<br>3. WRITE Ausstellungskonzept (Comp)<br>,1. Literatur (Coll)<br>2. öffentliche und private Forschungsliteratur (Coll)<br>3. Ausstellungskonzept (Comp)<br>,fremdes Ausstellungsobjekt dem Ausstellungskonzept hinzufügen,Kunsthalle,System.ISystemAusstellungProvidedRole.fügeFremdesAusstellungsobjektDemAusstellungskonzeptHinzu(),1. READ token: Token<br>2. READ konzept: Ausstellungskonzept<br>3. READ fremdesAusstellungsobjekt: Fremdes Ausstellungsobjekt<br>4. READ inhaltliches: STRING<br>
36,21,Sammlung und Wissenschaft:Kurator,Konzept erstellen,in Literatur nach verwandten Werken recherchieren,1. READ Literatur (Coll)<br>2. READ öffentliche und private Forschungsliteratur (Coll)<br>3. WRITE Ausstellungskonzept (Comp)<br>,1. Literatur (Coll)<br>2. öffentliche und private Forschungsliteratur (Coll)<br>3. Ausstellungskonzept (Comp)<br>,sich im System für die Konzepterweiterung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
37,21,Sammlung und Wissenschaft:Kurator,Konzept erstellen,in Literatur nach verwandten Werken recherchieren,1. READ Literatur (Coll)<br>2. READ öffentliche und private Forschungsliteratur (Coll)<br>3. WRITE Ausstellungskonzept (Comp)<br>,1. Literatur (Coll)<br>2. öffentliche und private Forschungsliteratur (Coll)<br>3. Ausstellungskonzept (Comp)<br>,sich im System für die Konzepterweiterung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
38,22,Sammlung und Wissenschaft:Kurator,Konzept erstellen,fremde Werke für Ausstellung auswählen,READ/WRITE Ausstellungskonzept (Comp),Ausstellungskonzept (Comp),,,,
39,23,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,mündlich fremdes Werk anfragen,1. READ CRM-Eintrag (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Ausstellungskonzept (Comp)<br>,Ausstellungskonzept zum Anfragen holen,Kunsthalle,System.ISystemAusstellungProvidedRole.gibAusstellungskonzept(),1. READ token: Token<br>2. READ ausstellungsName: STRING<br>3. WRITE Ausstellungskonzept<br>
40,23,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,mündlich fremdes Werk anfragen,1. READ CRM-Eintrag (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Ausstellungskonzept (Comp)<br>,Kontakt des Kurators holen,Kunsthalle,System.ISystemCRMProvidedRole.gibEintrag(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE CRM-Eintrag<br>
41,23,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,mündlich fremdes Werk anfragen,1. READ CRM-Eintrag (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Ausstellungskonzept (Comp)<br>,sich im System für die mündliche Anfrage abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
42,23,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,mündlich fremdes Werk anfragen,1. READ CRM-Eintrag (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>,1. CRM-Eintrag (Comp)<br>2. Ausstellungskonzept (Comp)<br>,sich im System für die mündliche Anfrage anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
43,24,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,individuelles Leihgesuch schreiben,1. READ Fremdes Ausstellungsobjekt (Comp)<br>2. READ CRM-Eintrag (Comp)<br>3. WRITE Leihgesuch (Comp)<br>,1. Fremdes Ausstellungsobjekt (Comp)<br>2. CRM-Eintrag (Comp)<br>3. Leihgesuch (Comp)<br>,Hole Empfänger für Leihgesuch,Kunsthalle,System.ISystemCRMProvidedRole.gibEintrag(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE CRM-Eintrag<br>
44,24,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,individuelles Leihgesuch schreiben,1. READ Fremdes Ausstellungsobjekt (Comp)<br>2. READ CRM-Eintrag (Comp)<br>3. WRITE Leihgesuch (Comp)<br>,1. Fremdes Ausstellungsobjekt (Comp)<br>2. CRM-Eintrag (Comp)<br>3. Leihgesuch (Comp)<br>,Hole fremdes Ausstellungkonzeptobjekt,Kunsthalle,System.ISystemAusstellungProvidedRole.gibFremdesAusstellungsobjektAusAusstellungskonzept(),1. READ Ausstellungsname: STRING<br>2. READ Ausstellungsobjektname: STRING<br>3. WRITE Ausstellungskonzeptobjekt für fremdes Werk<br>
45,24,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,individuelles Leihgesuch schreiben,1. READ Fremdes Ausstellungsobjekt (Comp)<br>2. READ CRM-Eintrag (Comp)<br>3. WRITE Leihgesuch (Comp)<br>,1. Fremdes Ausstellungsobjekt (Comp)<br>2. CRM-Eintrag (Comp)<br>3. Leihgesuch (Comp)<br>,Leihgesuch hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeLeihgesuchHinzu(),1. READ token: Token<br>2. READ Empfänger: CRM-Eintrag<br>3. READ Ausstellungskonzeptobjekt für fremdes Werk: Ausstellungskonzeptobjekt für fremdes Werk<br>
46,24,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,individuelles Leihgesuch schreiben,1. READ Fremdes Ausstellungsobjekt (Comp)<br>2. READ CRM-Eintrag (Comp)<br>3. WRITE Leihgesuch (Comp)<br>,1. Fremdes Ausstellungsobjekt (Comp)<br>2. CRM-Eintrag (Comp)<br>3. Leihgesuch (Comp)<br>,sich im System für die Leihgesuch-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
47,24,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,individuelles Leihgesuch schreiben,1. READ Fremdes Ausstellungsobjekt (Comp)<br>2. READ CRM-Eintrag (Comp)<br>3. WRITE Leihgesuch (Comp)<br>,1. Fremdes Ausstellungsobjekt (Comp)<br>2. CRM-Eintrag (Comp)<br>3. Leihgesuch (Comp)<br>,sich im System für die Leihgesuch-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
48,25,Vorstand:Direktor,fremde Werke ausleihen,Leihgesuch unterschreiben,READ/WRITE Leihgesuch (Comp),Leihgesuch (Comp),,,,
49,26,Vorstand:Direktor,fremde Werke ausleihen,Leihgesuch verschicken,READ Leihgesuch (Comp),Leihgesuch (Comp),,,,
50,27,Vorstand:Direktor,fremde Werke ausleihen,Antwort erhalten,WRITE Bestätigung des Leihgesuchs (Comp),Bestätigung des Leihgesuchs (Comp),Bestätigung des Leihgesuchs speichern,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeBestätigungLeihgesuchHinzu(),1. READ Token: Token<br>2. READ bestätigung Leihgesuch: Bestätigung des Leihgesuchs<br>3. WRITE Leihgesuch<br>
51,28,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,Bestätigung weiterleiten,READ/WRITE Bestätigung des,Bestätigung des Leihgesuchs (Comp),,,,
52,29,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag verhandeln,1. READ Bestätigung des Leihgesuchs (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>3. WRITE Leihvertrag (Comp)<br>4. WRITE CRM-Eintrag (Comp)<br>,1. Bestätigung des Leihgesuchs (Comp)<br>2. Ausstellungskonzept (Comp)<br>3. Leihvertrag (Comp)<br>4. CRM-Eintrag (Comp)<br>,Ausstellungskonzept für Leihvertragsverhandlung holen,Kunsthalle,System.ISystemAusstellungProvidedRole.gibAusstellungskonzept(),1. READ token: Token<br>2. READ ausstellungsName: STRING<br>3. WRITE Ausstellungskonzept<br>
53,29,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag verhandeln,1. READ Bestätigung des Leihgesuchs (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>3. WRITE Leihvertrag (Comp)<br>4. WRITE CRM-Eintrag (Comp)<br>,1. Bestätigung des Leihgesuchs (Comp)<br>2. Ausstellungskonzept (Comp)<br>3. Leihvertrag (Comp)<br>4. CRM-Eintrag (Comp)<br>,Hole Bestätigung des Leihgesuchs,Kunsthalle,System.ISystemLeihverkehrProvidedRole.gibBestätigungLeihgesuch(),1. READ titel Aussstellungsobjekt: STRING<br>2. WRITE Bestätigung des Leihgesuchs<br>
54,29,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag verhandeln,1. READ Bestätigung des Leihgesuchs (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>3. WRITE Leihvertrag (Comp)<br>4. WRITE CRM-Eintrag (Comp)<br>,1. Bestätigung des Leihgesuchs (Comp)<br>2. Ausstellungskonzept (Comp)<br>3. Leihvertrag (Comp)<br>4. CRM-Eintrag (Comp)<br>,Leihvertrag erstellen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeLeihvertragHinzu(),1. READ token: Token<br>2. READ Leihvertragsinformationen: STRING<br>3. READ Bestätigung Leihgesuch o. Leihanfrage: Allgemeine Leihanfrage<br>
55,29,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag verhandeln,1. READ Bestätigung des Leihgesuchs (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>3. WRITE Leihvertrag (Comp)<br>4. WRITE CRM-Eintrag (Comp)<br>,1. Bestätigung des Leihgesuchs (Comp)<br>2. Ausstellungskonzept (Comp)<br>3. Leihvertrag (Comp)<br>4. CRM-Eintrag (Comp)<br>,sich im System für Verhandlungen abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
56,29,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag verhandeln,1. READ Bestätigung des Leihgesuchs (Comp)<br>2. READ Ausstellungskonzept (Comp)<br>3. WRITE Leihvertrag (Comp)<br>4. WRITE CRM-Eintrag (Comp)<br>,1. Bestätigung des Leihgesuchs (Comp)<br>2. Ausstellungskonzept (Comp)<br>3. Leihvertrag (Comp)<br>4. CRM-Eintrag (Comp)<br>,sich im System für Verhandlungen anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
57,30,Sammlung und Wissenschaft:Kurator,fremde Werke ausleihen,Leihvertrag prüfen,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp),,,,
58,31,Vorstand:Direktor,fremde Werke ausleihen,Leihvertrag unterschreiben,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp),,,,
59,32,Vorstand:Direktor,fremde Werke ausleihen,Leihvertrag an Museum verschicken,READ/WRITE Leihvertrag (Comp),Leihvertrag (Comp),,,,
60,33,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag archivieren,1. WRITE Leihvertrag (Comp)<br>2. WRITE CRM-Eintrag (Comp)<br>,1. Leihvertrag (Comp)<br>2. CRM-Eintrag (Comp)<br>,Leihvertrag hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeLeihvertragHinzu(),1. READ token: Token<br>2. READ Leihvertragsinformationen: STRING<br>3. READ Bestätigung Leihgesuch o. Leihanfrage: Allgemeine Leihanfrage<br>
61,33,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag archivieren,1. WRITE Leihvertrag (Comp)<br>2. WRITE CRM-Eintrag (Comp)<br>,1. Leihvertrag (Comp)<br>2. CRM-Eintrag (Comp)<br>,sich im System für die Leihvertrags-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
62,33,Sammlung und Wissenschaft:Registrar,fremde Werke ausleihen,Leihvertrag archivieren,1. WRITE Leihvertrag (Comp)<br>2. WRITE CRM-Eintrag (Comp)<br>,1. Leihvertrag (Comp)<br>2. CRM-Eintrag (Comp)<br>,sich im System für die Leihvertrags-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
63,34,Sammlung und Wissenschaft:Registrar,fremdes Werk wird angeliefert,Transportunternehmen beauftragen,READ CRM-Eintrag (Comp),CRM-Eintrag (Comp),Kontakt zu Transportunternehmen holen,Kunsthalle,System.ISystemCRMProvidedRole.gibEintrag(),1. READ token: Token<br>2. READ name: STRING<br>3. WRITE CRM-Eintrag<br>
64,34,Sammlung und Wissenschaft:Registrar,fremdes Werk wird angeliefert,Transportunternehmen beauftragen,READ CRM-Eintrag (Comp),CRM-Eintrag (Comp),sich im System für den Transport anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
65,35,Sammlung und Wissenschaft:Registrar,fremdes Werk wird angeliefert,Liefertermin ausmachen,,,Lieferauftrag verbuchen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeTransportauftragHinzu(),1. READ token: Token<br>2. READ auftrag: Transportauftrag<br>
66,35,Sammlung und Wissenschaft:Registrar,fremdes Werk wird angeliefert,Liefertermin ausmachen,,,sich im System für den Transport abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
67,36,Zentrale Dienste:Sicherheit,fremdes Werk wird angeliefert,Raum entsichern,,,,,,
68,37,Sammlung und Wissenschaft:Kurator,fremdes Werk wird angeliefert,Anlieferung beaufsichtigen und protokollieren,WRITE Protokoll (Comp),Protokoll (Comp),Protokoll hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeProtokollHinzu(),1. READ token: Token<br>2. READ protokoll: Protokoll<br>
69,37,Sammlung und Wissenschaft:Kurator,fremdes Werk wird angeliefert,Anlieferung beaufsichtigen und protokollieren,WRITE Protokoll (Comp),Protokoll (Comp),sich im System für die Protokoll-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
70,37,Sammlung und Wissenschaft:Kurator,fremdes Werk wird angeliefert,Anlieferung beaufsichtigen und protokollieren,WRITE Protokoll (Comp),Protokoll (Comp),sich im System für die Protokoll-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
71,38,Sammlung und Wissenschaft:Restaurator,fremdes Werk wird angeliefert,Kurator bei Anlieferung unterstützen,READ/WRITE Protokoll (Comp),Protokoll (Comp),Protokoll hinzufügen 2,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeProtokollHinzu(),1. READ token: Token<br>2. READ protokoll: Protokoll<br>
72,38,Sammlung und Wissenschaft:Restaurator,fremdes Werk wird angeliefert,Kurator bei Anlieferung unterstützen,READ/WRITE Protokoll (Comp),Protokoll (Comp),sich im System für die Protokoll-Hinzufügung abmelden 2,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
73,38,Sammlung und Wissenschaft:Restaurator,fremdes Werk wird angeliefert,Kurator bei Anlieferung unterstützen,READ/WRITE Protokoll (Comp),Protokoll (Comp),sich im System für die Protokoll-Hinzufügung anmelden 2,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
74,39,Zentrale Dienste:Sicherheit,fremdes Werk wird abgeholt,Raum entsichern,,,,,,
75,40,Sammlung und Wissenschaft:Kurator,fremdes Werk wird abgeholt,Abholung beaufsichtigen,,,,,,
76,41,Sammlung und Wissenschaft:Restaurator,fremdes Werk wird abgeholt,Beausichtigung des Einpackens und protokollierung,WRITE Protokoll (Comp),Protokoll (Comp),Protokoll hinzufügen,Kunsthalle,System.ISystemLeihverkehrProvidedRole.fügeProtokollHinzu(),1. READ token: Token<br>2. READ protokoll: Protokoll<br>
77,41,Sammlung und Wissenschaft:Restaurator,fremdes Werk wird abgeholt,Beausichtigung des Einpackens und protokollierung,WRITE Protokoll (Comp),Protokoll (Comp),sich im System für Protokoll-Hinzufügung abmelden,Kunsthalle,System.ISystemZugangProvidedRole.abmelden(),READ Token: Token
78,41,Sammlung und Wissenschaft:Restaurator,fremdes Werk wird abgeholt,Beausichtigung des Einpackens und protokollierung,WRITE Protokoll (Comp),Protokoll (Comp),sich im System für Protokoll-Hinzufügung anmelden,Kunsthalle,System.ISystemZugangProvidedRole.anmelden(),1. READ cred: Credentials<br>2. WRITE Token<br>
